日期	最高气温	最低气温	天气	风向	风力	
2012-06-01	19	13	中雨转小雨	微风	小于3级	
2012-06-02	23	15	小雨	微风	小于3级	
2012-06-03	21	14	阵雨	微风	小于3级	
2012-06-04	25	14	阵雨转小雨	微风	小于3级	
2012-06-05	27	13	晴	微风	小于3级	
2012-06-06	27	13	晴	微风	小于3级	
2012-06-07	25	15	阵雨	微风	小于3级	
2012-06-08	28	16	多云	微风	小于3级	
2012-06-09	27	15	阵雨	微风	小于3级	
2012-06-10	25	16	阵雨	微风	小于3级	
2012-06-11	25	15	阴	微风	小于3级	
2012-06-12	24	15	阵雨	微风	小于3级	
2012-06-13	28	15	小雨转阴	微风	小于3级	
2012-06-14	25	15	阵雨	微风	小于3级	
2012-06-15	20	15	大雨	微风	小于3级	
2012-06-16	20	15	中雨	微风	小于3级	
2012-06-17	23	16	阵雨	微风	小于3级	
2012-06-18	24	16	阵雨	微风	小于3级	
2012-06-19	18	15	小雨转中雨	微风	小于3级	
2012-06-20	23	15	中雨转小到中雨	微风	小于3级	
2012-06-21	21	15	小雨转中雨	微风	小于3级	
2012-06-22	23	16	中雨转小雨	微风	小于3级	
2012-06-23	25	16	小雨	微风	小于3级	
2012-06-24	24	17	阵雨	微风	小于3级	
2012-06-25	24	15	阵雨	微风	小于3级	
2012-06-26	22	16	阵雨	微风	小于3级	
2012-06-27	22	16	阵雨	微风	小于3级	
2012-06-28	25	17	阵雨	微风	小于3级	
2012-06-29	26	16	阵雨	微风	小于3级	
2012-06-30	26	16	阵雨转多云	微风	小于3级	
